pest_common_name,pest_scientific_name,pest_type,record_type,year_first_detected_us,estimated_year_arrival,origin_country,origin_region,mode_of_entry,commodity_pathway,port_of_entry,host_plant_animal,us_states_affected,spread_rate_km_per_year,economic_impact_usd,impact_sector,inoculum_type,quarantine_status,eradication_status,data_verified_date,data_sources,economic_impact_source_url,economic_impact_year,economic_verified_date
Northern Giant Hornet,Vespa mandarinia,Insect - Wasp,Pest,2019,2019,East Asia,"East Asia (Japan, China, South Korea)",Unknown — possibly cargo or accidental transport,Shipping containers or accidental passenger transport,Blaine WA / BC Canada border (first detection December 2019),Honeybees (Apis mellifera); other insects — predator of pollinators,WA (4 nests detected and eradicated 2020-2021; no detections 2022-2024),Unknown — eradicated before establishment,$15+ billion/year US honeybee-dependent crop pollination services threatened (FDA 2018); direct apiculture losses under quantification; eradication program cost ~$3 million/year (WSDA),Agriculture - Pollination/Beekeeping,Not applicable — insect pest,ERADICATED — WSDA and USDA jointly declared eradication end of 2024 after 3 years with no detections,Eradicated,2026-04-10,WSDA eradication declaration 2024; USDA APHIS; ESA official common name: Northern Giant Hornet,https://www.fda.gov/food/agricultural-biotechnology/bees-pollination,2020,2026-04-13
Boxwood Blight,Calonectria pseudonaviculata,Fungal Pathogen,Pathogen/Disease,2011,2011,Europe / New Zealand,Europe,Nursery stock trade (mode of introduction unknown),Infected boxwood nursery plants,NC and CT simultaneously (October 2011 — first US detections),Boxwood (Buxus spp.); sweetbox (Sarcococca); pachysandra,"CT, MA, NC, OH, OR, PA, VA, WA and 20+ states",Rapid through nursery trade,$100+ million/year nursery and landscape industry impact (USDA ARS estimate 2018); US boxwood market valued at $160+ million/year wholesale,Horticulture/Nursery Industry,Microsclerotia (long-lived soil structures); macroconidia and microconidia spread by rain splash and on infected nursery stock; survives years in leaf litter,Industry-led sanitation protocols; some state regulations; no federal quarantine,Established,2026-04-10,NISIC; University of Maryland Extension; USDA ARS Fort Detrick,https://www.aphis.usda.gov/plant_health/plant_pest_info/boxwood_blight/,2018,2026-04-13
Spotted Wing Drosophila,Drosophila suzukii,Insect - Fruit Fly,Pest,2008,2008,"East Asia (Japan, China, South Korea)",East Asia,Cargo/trade,Likely fresh fruit imports or ornamental trade,California (first continental US detection 2008; Hawaii 1980s),"Raspberries, blueberries, cherries, strawberries, grapes, thin-skinned soft fruits","CA, OR, WA, MI, FL and all major berry-producing states",50-100,"$1.275 billion/year estimated nationwide crop loss potential (Rodriguez-Saona et al. 2022, J. Econ. Entomol.); USDA annual management costs $129–$172 million/year",Agriculture - Small Fruits/Berries,Not applicable — insect pest,No federal quarantine (established); IPM and biocontrol (Ganaspis brasiliensis) programs,Established,2026-04-12,NISIC; USDA ARS; USDA APHIS Ganaspis EA 2020; UC Davis; USDA 2022 national economic impact estimate,https://doi.org/10.1093/ee/nvac019,2022,2026-04-13
Kudzu Bug,Megacopta cribraria,Insect - True Bug (Plataspidae),Pest,2009,2009,Asia (India and China most likely origin),South/East Asia,Unknown — possibly accidental passenger transport or cargo,Unknown,Georgia (northeast GA — 9 counties first detected October 2009),Kudzu (Pueraria montana); soybean (Glycine max); other legumes,"GA, SC, NC, VA, TN, AL, MS, FL, MD, AR, LA, DC and expanding",Rapid (12 states + DC by 2013),National annual losses estimated in tens of millions (USDA ARS); 20–60% soybean yield losses in heavily infested fields (UGA Extension); GA peanut crop ($2 billion value) at risk — actual losses suppressed by parasitoid Paratelenomus saccharalis since 2015,Agriculture - Soybeans/Legumes,Not applicable — insect pest,No federal quarantine (established); biocontrol with Paratelenomus saccharalis being studied,Established,2026-04-10,USDA ARS; UGA Cooperative Extension; Invasive Species Info,https://www.caes.uga.edu/research/research-areas/crop-science/kudzu-bug.html,2014,2026-04-13
Asian Soybean Rust,Phakopsora pachyrhizi,Fungal Pathogen - Rust,Pathogen/Disease,2004 (continental US — Louisiana); 1994 (Hawaii),2004 (wind-dispersed from South America during Hurricane Ivan),Asia (India; China; Japan; Australia — Asian origin; spread via South America),Asia — established in South America prior to US entry,Wind dispersal (airborne urediniospores),Atmospheric dispersal — urediniospores carried by hurricane-force winds from South America (Hurricane Ivan pathway confirmed),"Baton Rouge, Louisiana (first continental US detection November 6, 2004 — confirmed USDA/APHIS November 10, 2004)",Soybean (Glycine max); kudzu; 90+ legume host species,Southern tier (LA; FL; AL; MS; GA; TN; AR); detected seasonally — winter-killed in northern states,Rapid via wind (hundreds to thousands of km per season),$240 million–$2 billion/year estimated losses depending on epidemic severity (USDA ERS EIB-21 2008); $27 billion US soybean crop at risk; up to 80% yield loss if untreated,Agriculture - Soybeans,Wind-dispersed urediniospores (asexual fungal spores); highly viable; no teliospore stage confirmed outside Asia — US epidemics driven entirely by urediniospore reinfection from southern states and new wind introductions,USDA APHIS National Soybean Rust Sentinel Plot Network active; no quarantine (established seasonal presence),Established (seasonal — overwinters only in Gulf South),2026-04-10,USDA ERS OCS-04-D02; USDA ARS soybean rust research; NISIC; Schneider et al. 2005 — confirmed Louisiana first detection; USDA ARS Hawaii detection 1994,https://www.ers.usda.gov/webdocs/publications/45638/58168_eib21.pdf,2008,2026-04-13
Citrus Canker,Xanthomonas citri subsp. citri,Bacterial Pathogen,Pathogen/Disease,1995 (rediscovered Dade County FL; previously eradicated 1933),1994-1995,Asia (Southeast Asian origin — widespread in tropical/subtropical citrus regions globally),Asia / Tropics — worldwide in citrus-growing regions,Nursery stock,Infected citrus plant material — likely contaminated nursery stock or fruit,Miami-Dade County FL (March 1995 — USDA APHIS confirmed redetection),"All commercial citrus (oranges, grapefruit, limes, lemons, mandarins, tangerines, kumquats)",FL (primary); LA (2013); TX (2016); AL (2021),Moderate (wind-driven rain spread within groves; long-distance via nursery trade),"$1.4 billion total eradication costs 1995–2006 (USDA APHIS / FDACS combined); over 90,000 acres of citrus groves destroyed; eradication program abandoned January 2006",Agriculture - Citrus,Bacterial cells (Gram-negative rod) — spread by wind-driven rain splashing; contaminated equipment; infected budwood; insects; birds; survives on plant surfaces and in lesions; not seed-transmitted,USDA eradication program ended 2006; current regulations govern citrus movement from quarantine counties; management program ongoing,Established (eradication abandoned 2006),2026-04-10,USDA APHIS Citrus Canker Eradication Program EA 1995 and 1999; FDACS; NISIC; APHIS confirmed eradication end 2006,https://www.aphis.usda.gov/plant_health/plant_pest_info/citrus/canker.shtml,2006,2026-04-13
Citrus Black Spot,Phyllosticta citricarpa,Fungal Pathogen,Pathogen/Disease,2010,2010,Africa / Asia (widespread in tropical citrus regions — Africa; South America; Asia),Sub-Saharan Africa / Asia,Likely infected plant material or fruit imports,Infected citrus nursery stock or fruit from South America or Asia,Collier and Hendry Counties FL (March 2010 — USDA APHIS confirmed first US detection),"All commercial citrus — oranges, grapefruit, mandarins, lemons, limes","FL (Collier, Hendry, Miami-Dade, Broward, Highlands counties)",Slow — rain splash and nursery trade,"$25 million/year estimated compliance, treatment, and export market access costs (USDA APHIS EA 2015); active quarantine maintained to protect EU and other export markets",Agriculture - Citrus,Ascospores (primary inoculum — airborne from infected leaf litter and fruit; crucial infection in wet season); pycnidiospores (secondary inoculum — rain-splash dispersed from fruit lesions),Federal quarantine active; USDA APHIS eradication/containment program ongoing in FL; EU import restrictions apply,Eradication Ongoing,2026-04-10,USDA APHIS Citrus Black Spot program page; FDACS Pest Alert; NISIC,https://www.regulations.gov/document/APHIS-2013-0012-0055,2015,2026-04-13
Zebra Chip Disease,Candidatus Liberibacter solanacearum (Lso) via Bactericera cockerelli (potato psyllid),Bacterial Pathogen,Pathogen/Disease,2000 (South Texas — first US detection),1990s (first described Saltillo Mexico mid-1990s),Mexico / Central America (Lso-psyllid complex origin),North America / Mexico,Natural spread of insect vector / movement of infected seed potatoes,Movement of infected potato seed stock and natural spread of potato psyllid (Bactericera cockerelli) from Mexico into Texas,South Texas (first US detection ~2000),Potato (Solanum tuberosum — primary); tomato; pepper; eggplant; other Solanaceae; also carrot (Lso haplotype C),"TX, NM, CO, KS, NE (established before 2010); OR, WA, ID (first Pacific Northwest detection 2011)",Moderate (follows psyllid vector spread),$100–$200 million/year management costs for potato psyllid and Lso in affected TX/SW states (USDA NIFA); Lso can cause total crop loss in heavily infested fields,Agriculture - Potatoes/Vegetables,Phloem-limited bacterium — transmitted by potato psyllid (Bactericera cockerelli) in a circulative persistent manner; not seed-borne in potato tubers but spreads via infected above-ground tissue; also graft-transmissible,No federal quarantine; state monitoring programs; psyllid management is primary control strategy,Established,2026-04-10,APS Plant Disease — Potato Zebra Chip Disease Review (PHP-2010-0317-01-RV); USDA NIFA; Liefting et al. 2009,https://www.apsnet.org/publications/apsnetfeatures/Pages/ZebraChipDisease.aspx,2012,2026-04-13
Tomato Yellow Leaf Curl Virus,Tomato yellow leaf curl virus — TYLCV (Israeli strain — TYLCV-IL),Viral Pathogen - Begomovirus,Pathogen/Disease,1997 (Dade County FL — first continental US detection; Israeli strain),Late 1996 / early 1997,Middle East / Mediterranean (Israel — Israeli strain TYLCV-IL confirmed origin),Middle East / Mediterranean,Likely infected tomato transplants and wind-carried viruliferous whiteflies,Infected tomato transplants distributed from Dade County FL nurseries; Bemisia tabaci MEAM1 whitefly vector,Dade County FL (late 1996/early 1997 — Polston & Anderson 1997),Tomato (primary economic host); pepper; eggplant; cucumber; squash; numerous ornamentals (Datura; Nicotiana; Solanum spp.),FL (primary); spread to LA (2001); MS (2001); AL; GA; TX; CA; SC,Rapid via whitefly movement and infected transplants,Florida tomato production >$600 million/year at risk; significant annual losses since 2007 establishment; up to 100% yield loss in early-infected plants (UF/IFAS PP144),Agriculture - Vegetables / Tomato,Whitefly-transmitted viral particles — circulative persistent transmission by Bemisia tabaci MEAM1 (silverleaf whitefly); virus acquired by whitefly feeding on infected plant in 15–30 min; retained for whitefly's lifetime; not mechanically transmissible; not seed-transmitted in tomato,No federal quarantine (established); management relies on whitefly control and resistant tomato varieties (Ty-gene resistance),Established,2026-04-10,Polston & Anderson 1997 — Plant Disease 83(11):984 (first US report); UF/IFAS IPM; USDA APHIS; NISIC,https://edis.ifas.ufl.edu/publication/PP144,2018,2026-04-13
Wheat Blast,Magnaporthe oryzae Triticum pathotype (MoT),Fungal Pathogen - Blast,Pathogen/Disease,Not yet detected in US (high-priority threat),Not arrived,Brazil (Paraná state — first described 1985; now throughout South America and Bangladesh 2016),South America; South Asia,Seed-borne contamination via imported wheat grain; potential wind dispersal,Contaminated wheat grain imports from South America (Brazil is a US wheat import source); seed-borne conidia on grain surface,Not applicable — not yet detected in US,Wheat (Triticum aestivum — primary); triticale; other small grains,Not yet established — highest risk: Great Plains (KS; OK; TX; CO; NE); SE states under humid conditions,Airborne — rapid (wind-dispersed conidia can spread kilometers per day under epidemic conditions),"$10 billion+ US wheat production at risk (USDA ARS recovery plan 2020); 80%+ yield losses in epidemic years documented in South America (Cruz et al. 2016, Science)",Agriculture - Wheat / Cereals,Wind-dispersed conidia (asexual spores) and seed-borne inoculum on grain surface; conidia infectious for hours under humid conditions; sexual spores (ascospores) also produced; wheat blast is a polycyclic disease with rapid cycles of inoculum build-up under warm humid conditions,USDA APHIS surveillance active; USDA ARS wheat blast recovery plan in place; no quarantine needed (not present); seed certification programs target seed-borne inoculum,Not Yet Arrived,2026-04-10,USDA ARS Wheat Blast Recovery Plan; Callaway et al. 2016 — Bangladesh detection; Cruz et al. 2012; USDA ARS 2025 genetic research news release,https://doi.org/10.1126/science.aaf7895,2020,2026-04-13
Sirex Woodwasp,Sirex noctilio,Insect - Woodwasp (Hymenoptera),Pest,2004,2004,Europe / New Zealand / Australia (wide native range),Europe — introduced globally via timber trade; also established in South America and South Africa,Cargo,Solid wood packing material and raw timber imports (pine logs/lumber),Oswego County NY (first US detection September 2004; confirmed February 2005),Pine species (Pinus spp. — primary); spruce; fir; larch — attacks stressed and dying conifers,"NY (19 counties confirmed); MI, PA, VT and expanding across northeastern US and Great Lakes region",Moderate (natural flight + timber trade),$1.5 billion/year potential damage to US pine forests (USDA APHIS EA 2012); billions in pine timber resources at risk across northeastern and southeastern states,Forestry - Pine/Softwoods,Not applicable — insect pest (larval boring + symbiotic fungus Amylostereum areolatum),Cooperative eradication program; biocontrol (nematode Beddingia siricidicola) deployed; not under federal quarantine (populations too established),Established,2026-04-10,USFS NRS — Sirex noctilio New York story (research.fs.usda.gov/treesearch/12496); USDA APHIS Sirex EA; NISIC,https://www.aphis.usda.gov/plant_health/plant_pest_info/sirex/,2012,2026-04-13
Bagrada Bug,Bagrada hilaris,Insect - True Bug (Pentatomidae),Pest,2008,2008,Africa (East and South Africa — native); also established Middle East and Mediterranean,Africa / Middle East,Unknown — likely hitchhiker in cargo or passenger baggage,Unknown — possibly imported produce or ornamental plants,Los Angeles County CA (first US detection 2008),Brassica crops (broccoli; cabbage; cauliflower; kale; canola); papaya; corn; alfalfa; ornamentals,"CA (established throughout southern CA; spreading north); AZ, NV, UT, TX and expanding",Moderate (flight and agricultural trade),$95 million/year estimated losses in CA brassica and specialty vegetable crops (UC ANR); up to 100% seedling mortality at cotyledon stage in heavily infested fields,Agriculture - Brassica Vegetables / Ornamentals,Not applicable — insect pest,No federal quarantine (established); IPM programs; no biocontrol approved yet,Established,2026-04-10,UC IPM Bagrada Bug Pest Alert; UC ANR; UCANR — first detected LA County 2008,https://ipm.ucanr.edu/PMG/PESTNOTES/pn74168.html,2016,2026-04-13
Polyphagous Shot Hole Borer (and Fusarium Dieback),Euwallacea fornicatus sensu lato (beetles) / Fusarium euwallaceae and allied fungi,Insect + Fungal pathogen complex,Pest & Pathogen,2012 (linked to tree mortality; present since 2003),2003,Southeast Asia (Vietnam; Indonesia — confirmed by genetic analysis),Southeast Asia,Cargo,Solid wood packing material or imported ornamental/timber wood,Whittier Narrows LA County CA (beetles present since ~2003; first linked to avocado mortality 2012),Avocado (high reproductive host); California sycamore; coast live oak; castor bean; box elder; cottonwood — 60+ reproductive host species in CA,"CA — Los Angeles, Orange, San Bernardino, Western Riverside, San Diego counties; isolated detections in northern CA",Moderate (flight within infested area; nursery trade long-distance),"$1.3+ billion at risk from urban tree loss in Southern CA (Eskalen et al. 2013, UC Riverside); CA avocado industry threatened; tens of thousands of urban trees already killed",Forestry/Urban Forestry/Agriculture - Avocado,Fungal ambrosia (Fusarium euwallaceae) carried in beetle mycangia — inoculated directly into xylem galleries; fungus blocks water/nutrient transport causing Fusarium Dieback disease,No federal quarantine; CA DPR management guidelines; UC Cooperative Extension monitoring,Established,2026-04-10,UC IPM PSHB Pest Note; UC ANR PSHB resource; Eskalen et al. 2013 (Phytopathology) — first characterization of PSHB-Fusarium complex,https://ucanr.edu/sites/pshb/,2017,2026-04-13
Coconut Rhinoceros Beetle,Oryctes rhinoceros,Insect - Beetle (Scarabaeidae),Pest,2013 (trap capture December 23 2013; confirmed January 3 2014),2013,Southeast Asia (native Pacific Islands; spread globally via shipping),Southeast Asia / Pacific Islands,Cargo,Shipping containers — likely with organic debris or packing material; origin unknown for HI introduction,Oahu HI (Joint Base Pearl Harbor-Hickam — first trap capture December 2013),Coconut palm (Cocos nucifera — primary); oil palm; banana; sugarcane; papaya; pineapple; sisal,HI — Oahu (confirmed established); Maui (subsequent detection); high risk to all Hawaiian Islands,Moderate on islands,$47 million/year Hawaii coconut palm and ornamental palm industry at risk (UH CTAHR 2020); potential $2+ billion global impact if it reaches oil palm production regions,Agriculture/Forestry - Palms,Not applicable — insect pest (adult boring into palm crown meristems),USDA APHIS cooperative eradication response program active; HDOA mass trapping and sanitation; biological control (Oryctes rhinoceros nudivirus — OrNV) deployed,Eradication Ongoing,2026-04-10,USDA APHIS CRB Oahu EA; CTAHR Hawaii; NISIC — first US detection December 2013 (confirmed January 3 2014),https://www.ctahr.hawaii.edu/oc/freepubs/pdf/IP-37.pdf,2020,2026-04-13
